strm73  2006 01 11  15 46   1.91
strm73  2006 01 11  15 47   1.91
strm73  2006 01 11  15 48   1.91
strm73  2006 01 11  15 49   1.91
strm73  2006 01 11  15 50   1.91
strm73  2006 01 11  15 51   1.91
strm73  2006 01 11  15 52   1.91
strm73  2006 01 11  15 53   1.91
strm73  2006 01 11  15 54   1.91
strm73  2006 01 11  15 55   1.91
strm73  2006 01 11  15 56   1.91
strm73  2006 01 11  15 57   1.90
strm73  2006 01 11  15 58   1.91
strm73  2006 01 11  15 59   1.91
strm73  2006 01 11  16 00   1.90
strm73  2006 01 11  16 01   1.90
strm73  2006 01 11  16 02   1.91
strm73  2006 01 11  16 03   1.90
strm73  2006 01 11  16 04   1.91
strm73  2006 01 11  16 05   7.62
strm73  2006 01 11  16 06   7.62
strm73  2006 01 11  16 07   7.62
strm73  2006 01 11  16 08   7.62
strm73  2006 01 11  16 09   7.62
strm73  2006 01 11  16 10   7.62
strm73  2006 01 11  16 11   7.62
strm73  2006 01 11  16 12   7.62
strm73  2006 01 11  16 13   7.62
strm73  2006 01 11  16 14   7.62
strm73  2006 01 11  16 15   3.81
strm73  2006 01 11  16 16   3.81
strm73  2006 01 11  16 17   3.81
strm73  2006 01 11  16 18   3.81
strm73  2006 01 11  16 19  15.24
strm73  2006 01 11  16 20  15.24
strm73  2006 01 11  16 21   3.81
strm73  2006 01 11  16 22   3.81
strm73  2006 01 11  16 23   3.81
strm73  2006 01 11  16 24   3.81
strm73  2006 01 11  16 25   3.81
strm73  2006 01 11  16 26   3.81
strm73  2006 01 11  16 27   3.81
strm73  2006 01 11  16 28   3.81
strm73  2006 01 11  16 29   3.81
strm73  2006 01 11  16 30   3.81
strm73  2006 01 11  16 31   3.81
strm73  2006 01 11  16 32   3.81
strm73  2006 01 11  16 33   3.81
strm73  2006 01 11  16 34   3.81
strm73  2006 01 11  16 35   3.81
strm73  2006 01 11  16 36   3.81
strm73  2006 01 11  16 37   3.81
strm73  2006 01 11  16 38   3.81
strm73  2006 01 11  16 39   3.81
strm73  2006 01 11  16 40   3.81
strm73  2006 01 11  16 41   7.62
strm73  2006 01 11  16 42   7.62
strm73  2006 01 11  16 43   3.81
strm73  2006 01 11  16 44   3.81
strm73  2006 01 11  16 45   3.81
strm73  2006 01 11  16 46   3.81
strm73  2006 01 11  16 47   7.62
strm73  2006 01 11  16 48   7.62
strm73  2006 01 11  16 49   3.81
strm73  2006 01 11  16 50   3.81
strm73  2006 01 11  16 51   3.81
strm73  2006 01 11  16 52   3.81
strm73  2006 01 11  16 53   3.81
strm73  2006 01 11  16 54   3.81
strm73  2006 01 11  16 55   3.81
strm73  2006 01 11  16 56   3.81
strm73  2006 01 11  16 57   2.54
strm73  2006 01 11  16 58   2.54
strm73  2006 01 11  16 59   2.54
strm73  2006 01 11  17 00   2.54
strm73  2006 01 11  17 01   2.54
strm73  2006 01 11  17 02   2.54
strm73  2006 01 11  17 03   1.52
strm73  2006 01 11  17 04   1.52
strm73  2006 01 11  17 05   1.52
strm73  2006 01 11  17 06   1.52
strm73  2006 01 11  17 07   1.52
strm73  2006 01 11  17 08   1.52
strm73  2006 01 11  17 09   1.52
strm73  2006 01 11  17 10   1.52
strm73  2006 01 11  17 11   1.52
strm73  2006 01 11  17 12   1.52
strm73  2006 01 11  17 13   1.52
