Date and Time,Underdrain Outflow (cfs),Underdrain Outflow (in/hr),,,
4/28/11 0:18,0,0,,4/28/11 0:35,0.36
4/28/11 0:20,0,0,,4/28/11 0:36,0.36
4/28/11 0:22,0,0,,4/28/11 0:58,0.08
4/28/11 0:24,0,0,,4/28/11 0:59,0.08
4/28/11 0:26,0,0,,4/28/11 1:00,0.08
4/28/11 0:28,0,0,,4/28/11 1:01,0.08
4/28/11 0:30,0,0,,4/28/11 1:02,0.08
4/28/11 0:32,0,0,,4/28/11 1:03,0.08
4/28/11 0:34,0,0,,4/28/11 1:04,0.08
4/28/11 0:36,0,0,,4/28/11 1:05,0.08
4/28/11 0:38,0,0,,4/28/11 1:06,0.08
4/28/11 0:40,0,0,,4/28/11 1:07,0.08
4/28/11 0:42,0,0,,4/28/11 1:08,0.16
4/28/11 0:44,0,0,,4/28/11 1:09,0.24
4/28/11 0:46,0,0,,4/28/11 1:10,0.24
4/28/11 0:48,0,0,,4/28/11 1:11,0.12
4/28/11 0:50,0,0,,4/28/11 1:12,0.12
4/28/11 0:52,0,0,,4/28/11 1:13,0.12
4/28/11 0:54,0,0,,4/28/11 1:14,0.12
4/28/11 0:56,0,0,,4/28/11 1:15,0.12
4/28/11 0:58,0,0,,4/28/11 1:16,0.05
4/28/11 1:00,0,0,,4/28/11 1:17,0.05
4/28/11 1:02,0,0,,4/28/11 1:18,0.05
4/28/11 1:04,0,0,,4/28/11 1:19,0.05
4/28/11 1:06,0,0,,4/28/11 1:20,0.05
4/28/11 1:08,0,0,,4/28/11 1:21,0.05
4/28/11 1:10,0,0,,4/28/11 1:22,0.05
4/28/11 1:12,0,0,,4/28/11 1:23,0.05
4/28/11 1:14,0,0,,4/28/11 1:24,0.05
4/28/11 1:16,0,0,,4/28/11 1:25,0.05
4/28/11 1:18,0,0,,4/28/11 1:26,0.05
4/28/11 1:20,0,0,,4/28/11 1:27,0.05
4/28/11 1:22,0,0,,4/28/11 1:28,0.14
4/28/11 1:24,0,0,,4/28/11 1:29,0.24
4/28/11 1:26,0,0,,4/28/11 1:30,0.24
4/28/11 1:28,0,0,,4/28/11 1:31,0.48
4/28/11 1:30,0,0,,4/28/11 1:32,0.48
4/28/11 1:32,0,0,,4/28/11 1:33,0.48
4/28/11 1:34,0,0,,4/28/11 1:34,0.48
4/28/11 1:36,0,0,,4/28/11 1:35,0.48
4/28/11 1:38,0,0,,4/28/11 1:36,0.36
4/28/11 1:40,0,0,,4/28/11 1:37,0.36
4/28/11 1:42,0,0,,4/28/11 1:38,0.36
4/28/11 1:44,0,0,,4/28/11 1:39,0.36
4/28/11 1:46,0,0,,4/28/11 1:40,0.36
4/28/11 1:48,0,0,,4/28/11 1:41,0.24
4/28/11 1:50,0,0,,4/28/11 1:42,0.24
4/28/11 1:52,2.77135E-06,0.000174268,,4/28/11 1:43,0.24
4/28/11 1:54,1.30258E-05,0.000819091,,4/28/11 1:44,0.24
4/28/11 1:56,2.189E-05,0.001376492,,4/28/11 1:45,0.24
4/28/11 1:58,3.82403E-05,0.002404632,,4/28/11 1:46,0.72
4/28/11 2:00,3.82403E-05,0.002404632,,4/28/11 1:47,0.72
4/28/11 2:02,3.82403E-05,0.002404632,,4/28/11 1:48,0.72
4/28/11 2:04,3.82403E-05,0.002404632,,4/28/11 1:49,0.72
4/28/11 2:06,3.82403E-05,0.002404632,,4/28/11 1:50,0.72
4/28/11 2:08,3.82403E-05,0.002404632,,4/28/11 1:51,2.16
4/28/11 2:10,3.82403E-05,0.002404632,,4/28/11 1:52,2.16
4/28/11 2:12,3.82403E-05,0.002404632,,4/28/11 1:53,2.16
4/28/11 2:14,3.82403E-05,0.002404632,,4/28/11 1:54,2.16
4/28/11 2:16,3.82403E-05,0.002404632,,4/28/11 1:55,2.16
4/28/11 2:18,3.82403E-05,0.002404632,,4/28/11 1:56,0.48
4/28/11 2:20,3.82403E-05,0.002404632,,4/28/11 1:57,0.48
4/28/11 2:22,3.82403E-05,0.002404632,,4/28/11 1:58,0.48
4/28/11 2:24,3.82403E-05,0.002404632,,4/28/11 1:59,0.48
4/28/11 2:26,3.82403E-05,0.002404632,,4/28/11 2:00,0.48
4/28/11 2:28,3.82403E-05,0.002404632,,4/28/11 2:01,0.24
4/28/11 2:30,3.82403E-05,0.002404632,,4/28/11 2:02,0.24
4/28/11 2:32,3.82403E-05,0.002404632,,4/28/11 2:03,0.24
4/28/11 2:34,3.82403E-05,0.002404632,,4/28/11 2:04,0.24
4/28/11 2:36,3.82403E-05,0.002404632,,4/28/11 2:05,0.24
4/28/11 2:38,3.82403E-05,0.002404632,,4/28/11 2:06,0.12
4/28/11 2:40,3.82403E-05,0.002404632,,4/28/11 2:07,0.12
